EventsID,SiteCode,EventCode,Personnel,CrewLeader,SiteName,TribTo,Date,TimeStart,TimeEnd,MouthLat,MouthLon,SiteLat,SiteLon,Discharge,WaterTemp,pH,SpecCond,Alk,DO,Hardness,AirTemp,Turbidity,Format,Unassessed,Connectivity,Loyalsock,FarmStreams,Other,Location,EventNotes,Weather,WQTime
1,Rusty.Shanerburg,201105.Rusty.Shanerburg,,,Rusty.Run,Shanerburg Run,5/30/2011,1:10:00 AM,,41.422283,-76.545639,41.422162,-76.549785,,15.8,7.35,25,7.6,,,,,Single,Unassessed,,,,,Above log road crossing,,,
2,BearRun.Loyalsock,201105.BearRun.Loyalsock,,,Bear.Run,Loyalsock Creek,5/31/2011,12:15:00 PM,,41.463516,-76.501161,41.465112,-76.498457,,14.6,6.65,23,5.7,,,,,Single,Unassessed,,,,,Cosgrove property above bridge,,,
3,BearRun.Loyalsock,201106.BearRun.Loyalsock,,,Bear.Run,Loyalsock Creek,6/1/2011,,,,,41.465112,-76.498457,,14.6,6.65,23,5.7,,,,,Repeated,,,Loyalsock,,,Cosgrove property above bridge,,,
4,Payne.LittleLoyalsock,201106.Payne.LittleLoyalsock,,,Payne.Run,Little Loyalsock Creek,6/1/2011,1:15:00 PM,,41.515794,-76.410342,41.515185,-76.409252,,18.8,7.74,100,92.9,,,,,Single,Unassessed,,,,,Ford Dealership in Dushore,,,
5,Rock.LittleLoyalsock,201106.Rock.LittleLoyalsock,,,Rock.Run,Little Loyalsock Creek,6/1/2011,,,,,41.501177,-76.516613,,14.6,6.81,29,9.6,,,,,Repeated,,,Loyalsock,,,Loyalsock State Forest off Rock Run Rd,,,
6,TP.Rock.LittleLoyalsock,201106.TP.Rock.LittleLoyalsock,,,Rock.Run,Little Loyalsock,6/1/2011,9:00:00 AM,,41.506765,-76.514563,41.501177,-76.516613,,14.6,6.81,29,9.6,,,,,Single,Unassessed,,,,,Loyalsock State Forrest off Rock Run Rd,,,
7,Conklin.LakeMokoma,201106.Conklin.LakeMokoma,,,Conklin.Run,Lake Mokoma,6/2/2011,,,,,41.41991,-76.480135,,12.7,4.89,22,2.4,,,,,Repeated,Unassessed,,Loyalsock,,,Above bridge on Lake Rd (Lake Mokoma Conservancy Land),,,
8,RockBirch.Birch,201106.RockBirch.Birch,,,Rock.Run..Birch.Creek.,Birch Creek,6/3/2011,,,41.466204,-76.433589,41.467633,-76.436165,,14.3,7.38,43,,,,,,Single,Unassessed,,,,,Nichols Rd bridge off Rt 220,,,
10,Dutchman.UpperLoyalsock,201106.Dutchman.UpperLoyalsock,,,Dutchman.Run,Upper Loyalsock Creek,6/7/2011,12:05:00 PM,,41.450288,-76.45121,41.449235,-76.451373,,13.2,6.24,32,16.5,,,,,Repeated,Unassessed,,Loyalsock,,,Above railroad grade rock bridge (Loyalsock Trail),,,
11,Marsh.LittleLoyalsock,201106.Marsh.LittleLoyalsock,,,Marsh.Run,Little Loyalsock Creek,6/7/2011,,,41.522839,-76.403824,41.522839,-76.403823,,21.8,7.79,127,144.2,,,,,Single,Unassessed,,,,,Mouth to Little Loyalsock,,,
