ID,Species,Length_mm,Wt_g,DELTM,FishComment,Diet,Pass,Date,waterName,TribTo,EventCode,ScaleID
1,Brook Trout,122,16.30,,,,Pass 1,5/30/2011,Rusty.Run,Shanerburg Run,201105.Rusty.Shanerburg,
2,Brook Trout,127,20.50,,,3,Pass 1,5/30/2011,Rusty.Run,Shanerburg Run,201105.Rusty.Shanerburg,
3,Brook Trout,137,24.00,,,1,Pass 1,5/30/2011,Rusty.Run,Shanerburg Run,201105.Rusty.Shanerburg,
4,Brook Trout,159,36.30,,,2,Pass 1,5/30/2011,Rusty.Run,Shanerburg Run,201105.Rusty.Shanerburg,
5,Brook Trout,90,7.60,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
6,Brook Trout,93,7.50,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
7,Brook Trout,98,8.60,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
8,Brook Trout,108,13.10,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
9,Brook Trout,109,13.40,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
10,Brook Trout,117,15.00,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
11,Brook Trout,117,15.50,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
12,Brook Trout,118,15.70,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
13,Brook Trout,119,17.30,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
14,Brook Trout,120,17.00,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
15,Brook Trout,121,16.30,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
16,Brook Trout,121,21.20,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
17,Brook Trout,123,22.40,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
18,Brook Trout,124,18.20,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
19,Brook Trout,124,18.40,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
20,Brook Trout,124,20.90,,,,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
21,Brook Trout,129,26.40,,,1,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
22,Brook Trout,135,24.60,,,3,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
23,Brook Trout,158,38.60,,,2,Pass 1,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
24,Brook Trout,98,9.30,,,,Pass 2,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
25,Brook Trout,109,10.20,,,,Pass 2,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
26,Brook Trout,112,13.20,,,,Pass 2,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
27,Brook Trout,141,24.60,,,4,Pass 2,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
28,Brook Trout,138,26.60,,,5,Pass 3,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
29,Brook Trout,154,35.10,,,6,Pass 3,5/31/2011,Bear.Run,Loyalsock Creek,201105.BearRun.Loyalsock,
30,Brook Trout,90,7.60,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
31,Brook Trout,93,7.50,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
32,Brook Trout,98,8.60,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
33,Brook Trout,108,13.10,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
34,Brook Trout,109,13.40,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
35,Brook Trout,117,15.00,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
36,Brook Trout,117,15.50,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
37,Brook Trout,118,15.70,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
38,Brook Trout,119,17.30,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
39,Brook Trout,120,17.00,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
40,Brook Trout,121,16.30,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
41,Brook Trout,121,21.20,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
42,Brook Trout,123,22.40,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
43,Brook Trout,124,18.20,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
44,Brook Trout,124,18.40,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
45,Brook Trout,124,20.90,,,,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
46,Brook Trout,129,26.40,,,1,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
47,Brook Trout,135,24.60,,,3,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
48,Brook Trout,158,38.60,,,2,Pass 1,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
49,Brook Trout,98,9.30,,,,Pass 2,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
50,Brook Trout,109,10.20,,,,Pass 2,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
51,Brook Trout,112,13.20,,,,Pass 2,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
52,Brook Trout,141,24.60,,,4,Pass 2,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
53,Brook Trout,138,26.60,,,5,Pass 3,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
54,Brook Trout,154,35.10,,,6,Pass 3,6/1/2011,Bear.Run,Upper Loyalsock,201106.BearRun.Loyalsock,
55,Brook Trout,232,138.20,,,1,Pass 1,6/1/2011,Payne.Run,Little Loyalsock Creek,201106.Payne.LittleLoyalsock,
56,Brown Trout,132,24.00,,,2,Pass 1,6/1/2011,Payne.Run,Little Loyalsock Creek,201106.Payne.LittleLoyalsock,
57,Brown Trout,290,266.40,,,3,Pass 1,6/1/2011,Payne.Run,Little Loyalsock Creek,201106.Payne.LittleLoyalsock,
58,Brook Trout,37,0.50,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
59,Brook Trout,38,0.50,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
60,Brook Trout,100,10.00,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
61,Brook Trout,102,10.10,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
62,Brook Trout,110,12.50,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
63,Brook Trout,119,16.30,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
64,Brook Trout,120,18.10,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
65,Brook Trout,123,17.80,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
66,Brook Trout,126,17.90,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
67,Brook Trout,127,19.40,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
68,Brook Trout,131,25.10,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
69,Brook Trout,134,21.60,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
70,Brook Trout,134,24.00,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
71,Brook Trout,136,23.40,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
72,Brook Trout,140,24.10,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
73,Brook Trout,141,25.90,,,2,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
74,Brook Trout,143,28.70,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
75,Brook Trout,150,30.50,,,,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
76,Brook Trout,157,40.10,,,1,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
77,Brook Trout,164,44.20,,,5,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
78,Brook Trout,178,48.70,,,3,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
79,Brook Trout,186,65.80,,,4,Pass 1,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
80,Brook Trout,107,11.60,,,,Pass 2,6/1/2011,Rock.Run,Little Loyalsock,201106.Rock.LittleLoyalsock,
