SurveyID,SiteCode,EventCode,Date,Watername,TribTo,Time,CrewLeader,Comments,Location,Length,AveWid,Wid1,Wid2,Wid3,Wid4,Wid5,VoltStart,FreqStart,DutyStart,Volts,FreqEnd,DutyEnd,Flow,EffortMin,Seconds,Pass1TimeA,Pass2TimeA,Pass3TimeA,Pass1TimeB,Pass2TimeB,Pass3TimeB,Pass1TimeC,Pass2TimeC,Pass3TimeC,Pass1TimeD,Pass2TimeD,Pass3TimeD,PEAllTrout,PEBrook,PEBrown,PERainbow,PEYOYAll,PEYOYBrook,PEYOYBrown,PEYOYRainbow,PEAdtAll,PEAdtBrook,PEAdtBrown,PEAdtRainbow,BrookP1,BrookP2,BrookP3,BrownP1,BrownP2,BrownP3,RainP1,RainP2,RainP3,TigerP1,TigerP2,TigerP3,TotalP1,TotalP2,TotalP3,GrandTotal,NumShockers,TimeStamp,IDBy,RecordBy,Crew,RFPID,SurveyNotes,Operators,Netters
1,Rusty.Shanerburg,201105.Rusty.Shanerburg,30-May-11,Rusty.Run,Shanerburg Run,1:10:00 AM,,,Above log road crossing,103,5.26,5.5,5.4,5.3,5,5.1,,,,,,,,27,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2,BearRun.Loyalsock,201105.BearRun.Loyalsock,31-May-11,Bear.Run,Loyalsock Creek,12:15:00 PM,,,Cosgrove property above bridge,101,4.38,4.5,4.3,4.7,4.1,4.3,,,,,,,,34,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
3,BearRun.Loyalsock,201106.BearRun.Loyalsock,01-Jun-11,Bear.Run,Loyalsock Creek,,,,Cosgrove property above bridge,101,4.38,,,,,,,,,,,,,66,3962,2023,1066,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
4,Payne.LittleLoyalsock,201106.Payne.LittleLoyalsock,01-Jun-11,Payne.Run,Little Loyalsock Creek,1:15:00 PM,,,Ford Dealership in Dushore,101,5.46,6,4.8,5.4,5.1,6,,,,,,,,25,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
5,Rock.LittleLoyalsock,201106.Rock.LittleLoyalsock,01-Jun-11,Rock.Run,Little Loyalsock Creek,,,,Loyalsock State Forest off Rock Run Rd,108,4.06,,,,,,,,,,,,,58,3484,1443,1281,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6,TP.Rock.LittleLoyalsock,201106.TP.Rock.LittleLoyalsock,01-Jun-11,Rock.Run,Little Loyalsock,9:00:00 AM,,,Loyalsock State Forrest off Rock Run Rd,300,4.06,4,4.2,3.9,4.4,3.8,,,,,,,,71,4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
7,Conklin.LakeMokoma,201106.Conklin.LakeMokoma,02-Jun-11,Conklin.Run,Lake Mokoma,,,,Above bridge on Lake Rd (Lake Mokoma Conservancy Land),100,3.075,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RockBirch.Birch,201106.RockBirch.Birch,03-Jun-11,Rock.Run..Birch.Creek.,Birch Creek,,,,Nichols Rd bridge off Rt 220,110,5.76,,,,,,,,,,,,,31,1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
9,Dutchman.UpperLoyalsock,201106.Dutchman.UpperLoyalsock,07-Jun-11,Dutchman.Run,Upper Loyalsock Creek,12:05:00 PM,,,Above railroad grade rock bridge (Loyalsock Trail),100,2.1,,,,,,,,,,,,,33,1995,1118,877,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
10,Marsh.LittleLoyalsock,201106.Marsh.LittleLoyalsock,07-Jun-11,Marsh.Run,Little Loyalsock Creek,,,,Mouth to Little Loyalsock,100,2.76,,,,,,,,,,,,,10,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
