SiteID,ChooseMe,SiteCode,SiteName,TribTo,RFPID,MouthLat,MouthLon,SiteLat,SiteLon,ParkLat,ParkLon,County,NearTown,TownCardinal,HUC12Watershed,NearRoadCross,AccessContactName,AccessContactPhone,AccessContactEmail,AccessParking,LocationNotes,YearResto,ExpFunction
1,FALSE,Barkshed.Loyalsock,Barkshed.Run,Loyalsock Creek,,41.456363,-76.673686,41.455699,-76.673562,,,,,,,,,,,,Dave Hewitt property upstream of Rt 87 culvert,,
2,FALSE,BearCreek.Loyalsock,Bear.Creek,Loyalsock Creek,,41.392062,-76.801785,41.38325,-76.7775,,,,,,,,,,,,Above bridge onto Grouse Club property from Dunwoody Club,,
3,FALSE,BearSwamp.Wolf,Bear.Swamp.Run,Wolf Run,,41.393025,-76.310042,41.39288,-76.30991,,,,,,,,,,,,Approx. 40 meters upstream of mouth,,
4,FALSE,BigBottom.LittleLoyalsock,Big.Bottom.Run,Little Loyalsock Creek,,41.50777,-76.549646,41.50991,-76.54912,,,,,,,,,,,,Upstream of culvert by Rt 87 bridge,,
5,FALSE,TP.Brunnerdale.Ogdonia,Brunnerdale.Run,Ogdonia Creek,,41.385555,-76.669167,41.38554,-76.66904,,,Sullivan,,,,,,,,,At mouth to Ogdonia Creek along Loyalsock Trail,,
6,FALSE,Cape.Loyalsock,Cape.Run,Loyalsock Creek,,41.463333,-76.654999,41.463241,-76.654999,,,,,,,,,,,,Dave Hewitt property upstream of culvert on Splash Dam Rd,,
7,FALSE,TP.Cherry.Muncy,Cherry.Run,Muncy Creek,,41.374168,-76.467224,41.36821,-76.46597,,,,,,,,,,,,Cherry Run Rd above one-lane iron bridge on Cherry Run R&G Club,,
8,FALSE,Coal.Loyalsock,Coal.Run,Loyalsock Creek,,41.460794,-76.521589,41.46088,-76.52153,,,,,,,,,,,,At mouth of Upper Loyalsock,,
9,FALSE,Cold.ShumansLake,Cold.Run,Shumans Lake,,41.44802,-76.275736,41.44669,-76.27077,,,,,,,,,,,,At end of game road,,
10,FALSE,CrookedRiffles.NA,Crooked.Riffles.Hollow,Loyalsock Creek,,41.351043,-76.899027,41.351,-76.89935,,,,,,,,,,,,Mouth to Hassler Run,,
11,FALSE,Dry.Muncy,Dry.Hollow,Muncy Creek,,41.379166,-76.707501,41.37925,-76.40771,,,,,,,,,,,,40 meters upstream of mouth (first 40m were dry),,
12,FALSE,TP.DryHoagland.Hoagland,Dry.Run..Hoagland.Branch.,Hoagland Branch,,41.511391,-76.709724,41.51405,-76.71452,,,,,,,,,,,,about 200m above mouth,,
13,FALSE,DryLowerLoyalsock.Loyalsock,Dry.Run..Lower.Loyalsock.,Loyalsock Creek,,41.362618,-76.878125,41.36275,-76.87803,,,,,,,,,,,,,,
14,FALSE,TP.DryOgdonia.Loyalsock,Dry.Run..Ogdonia.,Loyalsock Creek,,41.418056,-76.708611,41.419941,-76.704952,,,Sullivan,,,,,,,,,Behind DCNR office where Stony Run trail crosses creek,,
15,FALSE,TP.FallHoagland.Hoagland,Fall.Run..Hoagland.Branch.,Hoagland Branch,,41.535469,-76.740601,41.53544,-76.74061,,,,,,,,,,,,20 m upstream from mouth,,
16,FALSE,Falls.Ogdonia,Falls.Run,Ogdonia Creek,,41.390278,-76.679169,41.39202,-76.67776,,,,,,,,,,,,,,
17,FALSE,TP.FlagMarsh.Pigeon,Flag.Marsh.Run,Pigeon Creek,,41.476077,-76.309056,41.47611,-76.309056,,,,,,,,,,,,Mouth,,
18,FALSE,TP.Grandad.Hessler,Grandad.Run,Hessler Branch,,41.357099,-76.748738,41.35706,-76.7487,,,,,,,,,,,,At the mouth of Hessler Branch,,
19,FALSE,HighRock.Loyalsock,High.Rock.Run,Loyalsock Creek,,41.473339,-76.581448,41.479914,-76.579014,,,,,,,,,,,,Downstream of Loyalsock Rd,,
20,FALSE,TP.Huckle.Loyalsock,Huckle.Run,Loyalsock Creek,,41.418222,-76.709546,41.41844,-76.71111,,,,,,,,,,,,Stenzer property at mouth,,
21,FALSE,Joes.Loyalsock,Joe.s.Run,Loyalsock Creek,,41.461414,-76.687051,41.46269,-76.685318,,,,,,,,,,,,At the gate to Green Acres Baseball Camp,,
22,FALSE,TP.Level.LickMillview,Level.Branch,Lick Creek (Millview),,41.553333,-76.554726,41.553886,-76.553158,,,,,,,,,,,,Dennis Hottenstein property,,
23,FALSE,TP.LickKings.Kings,Lick.Run..Kings.Creek.,Kings Creek,,41.510046,-76.64416,41.50767,-76.64373,,,,,,,,,,,,North Bear Mtn Rd on Missingman property,,
