"","SiteCode","EventCode","Species","Length_mm","Wt_g"
"1","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",90,7.6
"2","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",93,7.5
"3","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",98,8.6
"4","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",108,13.1
"5","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",109,13.4
"6","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",117,15
"7","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",117,15.5
"8","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",118,15.7
"9","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",119,17.3
"10","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",120,17
"11","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",121,16.3
"12","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",121,21.2
"13","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",123,22.4
"14","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",124,18.2
"15","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",124,18.4
"16","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",124,20.9
"17","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",129,26.4
"18","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",135,24.6
"19","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",158,38.6
"20","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",98,9.3
"21","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",109,10.2
"22","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",112,13.2
"23","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",141,24.6
"24","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",138,26.6
"25","Bear.Loyalsock","201106.BearRun.Loyalsock","Brook Trout",154,35.1
"26","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",34,0.3
"27","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",35,0.3
"28","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",36,0.4
"29","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",38,0.5
"30","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",39,0.5
"31","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",40,0.5
"32","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",40,1.2
"33","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",41,0.5
"34","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",42,0.7
"35","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",42,0.7
"36","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",42,0.8
"37","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",44,0.9
"38","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",44,0.7
"39","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",45,1
"40","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",45,0.7
"41","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",45,0.8
"42","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",46,1.4
"43","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",46,0.9
"44","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",46,1
"45","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",46,0.9
"46","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",46,1.2
"47","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",47,1.1
"48","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",47,1
"49","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",47,1
"50","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",48,1.3
"51","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",48,1.1
"52","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",48,0.9
"53","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",48,1
"54","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",48,1.1
"55","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",49,1
"56","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",49,1.3
"57","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",49,1.1
"58","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",50,1.4
"59","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",50,1.2
"60","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",50,1.2
"61","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",50,1.4
"62","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",50,1.1
"63","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",50,1.1
"64","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",51,1.4
"65","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",51,1.5
"66","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",51,1.2
"67","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",51,1.2
"68","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",51,1.2
"69","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",51,1.4
"70","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",52,1.6
"71","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",52,1.5
"72","Bear.Loyalsock","201206.BearRun.Loyalsock","Brook Trout",54,1.7
