SiteCode,EventCode,Date
BearRun.Loyalsock,201106.BearRun.Loyalsock,6/1/2011
Rock.LittleLoyalsock,201106.Rock.LittleLoyalsock,6/1/2011
Conklin.LakeMokoma,201106.Conklin.LakeMokoma,6/2/2011
Dutchman.UpperLoyalsock,201106.Dutchman.UpperLoyalsock,6/7/2011
Sand.MillMokoma,201106.Sand.MillMokoma,6/7/2011
Level.Lick,201106.Level.Lick,6/8/2011
Streby.Lick,201106.Streby.Lick,6/8/2011
Scar.LowerLoyalsock,201106.Scar.LowerLoyalsock,6/9/2011
DrySock.LowerLoyalsock,201106.DrySock.LowerLoyalsock,6/10/2011
FlagMarsh.Pigeon,201106.FlagMarsh.Pigeon,6/21/2011
Coal.UpperLoyalsock,201106.Coal.UpperLoyalsock,6/24/2011
Ellis.UpperLoyalsock,201106.Ellis.UpperLoyalsock,6/28/2011
Porter.Hoagland,201106.Porter.Hoagland,6/29/2011
Painter.LittleBear,201107.Painter.LittleBear,7/5/2011
DryHB.Hoagland,201107.DryHB.Hoagland,7/6/2011
Swamp.Hoagland,201107.Swamp.Hoagland,7/6/2011
Brunnerdale.Ogdonia,201107.Brunnerdale.Ogdonia,7/7/2011
Red.LittleBear,201107.Red.LittleBear,7/8/2011
Sherman.UpperLoyalsock,201107.Sherman.UpperLoyalsock,7/8/2011
Yellow.LittleLoyalsock,201107.Yellow.LittleLoyalsock,7/9/2011
Grandad.Hessler,201107.Grandad.Hessler,7/10/2011
SandSpring.LittleBear,201107.SandSpring.LittleBear,7/10/2011
Huckle.Loyalsock,201107.Huckle.Loyalsock,7/11/2011
Shingle.Bear,201107.Shingle.Bear,7/12/2011
Snake.BearLoyalsock,201107.Snake.BearLoyalsock,7/12/2011
Lick.Kings,201107.Lick.Kings,7/14/2011
Fall.Hoagland,201107.Fall.Hoagland,7/19/2011
Weed.Hoagland,201107.Weed.Hoagland,7/19/2011
Lake.Elk,201107.Lake.Elk,7/20/2011
Mill.Loyalsock,201107.Mill.Loyalsock,7/27/2011
BearRun.Loyalsock,201206.BearRun.Loyalsock,6/6/2012
Rock.LittleLoyalsock,201206.Rock.LittleLoyalsock,6/12/2012
Yellow.LittleLoyalsock,201206.Yellow.LittleLoyalsock,6/12/2012
Coal.UpperLoyalsock,201206.Coal.UpperLoyalsock,6/13/2012
Dutchman.UpperLoyalsock,201206.Dutchman.UpperLoyalsock,6/13/2012
Mill.Loyalsock,201206.Mill.Loyalsock,6/13/2012
Brunnerdale.Ogdonia,201206.Brunnerdale.Ogdonia,6/14/2012
DrySock.LowerLoyalsock,201206.DrySock.LowerLoyalsock,6/14/2012
Scar.LowerLoyalsock,201206.Scar.LowerLoyalsock,6/14/2012
Conklin.LakeMokoma,201206.Conklin.LakeMokoma,6/15/2012
Sand.MillMokoma,201206.Sand.MillMokoma,6/15/2012
Ellis.UpperLoyalsock,201206.Ellis.UpperLoyalsock,6/18/2012
FlagMarsh.Pigeon,201206.FlagMarsh.Pigeon,6/18/2012
Sherman.UpperLoyalsock,201206.Sherman.UpperLoyalsock,6/18/2012
DryHB.Hoagland,201206.DryHB.Hoagland,6/19/2012
Fall.Hoagland,201206.Fall.Hoagland,6/19/2012
Porter.Hoagland,201206.Porter.Hoagland,6/19/2012
Weed.Hoagland,201206.Weed.Hoagland,6/19/2012
Painter.LittleBear,201206.Painter.LittleBear,6/20/2012
Red.LittleBear,201206.Red.LittleBear,6/20/2012
SandSpring.LittleBear,201206.SandSpring.LittleBear,6/20/2012
Swamp.Hoagland,201206.Swamp.Hoagland,6/20/2012
Lake.Elk,201206.Lake.Elk,6/21/2012
Lick.Kings,201206.Lick.Kings,6/21/2012
Streby.Lick,201206.Streby.Lick,6/21/2012
Grandad.Hessler,201206.Grandad.Hessler,6/22/2012
Shingle.Bear,201206.Shingle.Bear,6/28/2012
Huckle.Loyalsock,201206.Huckle.Loyalsock,6/29/2012
Snake.BearLoyalsock,201207.Snake.BearLoyalsock,7/10/2012
Level.Lick,201207.Level.Lick,7/11/2012
Painter.LittleBear,201306.Painter.LittleBear,6/10/2013
Red.LittleBear,201306.Red.LittleBear,6/10/2013
SandSpring.LittleBear,201306.SandSpring.LittleBear,6/11/2013
Fall.Hoagland,201306.Fall.Hoagland,6/12/2013
Lake.Elk,201306.Lake.Elk,6/12/2013
Weed.Hoagland,201306.Weed.Hoagland,6/12/2013
Conklin.LakeMokoma,201306.Conklin.LakeMokoma,6/13/2013
DrySock.LowerLoyalsock,201306.DrySock.LowerLoyalsock,6/13/2013
Dutchman.UpperLoyalsock,201306.Dutchman.UpperLoyalsock,6/13/2013
Ellis.UpperLoyalsock,201306.Ellis.LoyalsockUpper,6/13/2013
Lick.Kings,201306.Lick.Kings,6/13/2013
Brunnerdale.Ogdonia,201306.Brunnerdale.Ogdonia,6/14/2013
