"","SiteCode","Year","Month","Highest_Temperature_C","Lowest_Temperature_C","AvgMin","AvgMax","numberoflogs_MYG10"
"1","Bear.Loyalsock","2020","06",17.284,13.076,14.4349230769231,15.9277692307692,1208
"2","Bear.Loyalsock","2020","07",19.282,15.091,16.8384516129032,18.1894193548387,2976
"3","Bear.Loyalsock","2020","08",19.377,13.654,16.4508064516129,17.7074838709677,2976
"4","Bear.Loyalsock","2020","09",18.14,7.682,12.7417333333333,14.2564333333333,2517
"5","Bear.Loyalsock","2020","10",14.613,6.268,9.80764516129032,11.2068709677419,1982
"6","Bear.Loyalsock","2020","11",11.625,1.98,5.60363333333333,7.3736,132
"7","Bear.Loyalsock","2020","12",7.28,0.01,1.89183870967742,3.05458064516129,0
"8","Bear.Loyalsock","2021","01",3.155,-2.962,-0.0174838709677419,1.36203225806452,0
"9","Bear.Loyalsock","2021","02",2.41,-0.102,0.289892857142857,0.669535714285714,0
"10","Bear.Loyalsock","2021","03",10.455,0.01,2.62916129032258,5.06296774193548,27
"11","Bear.Loyalsock","2021","04",15.378,1.439,6.15786666666667,9.8554,569
"12","Brunnerdale.Ogdonia","2020","06",16.713,13.076,13.99725,15.71975,1086
"13","Brunnerdale.Ogdonia","2020","07",18.711,13.846,15.0659032258065,16.4388709677419,2976
"14","Brunnerdale.Ogdonia","2020","08",19.377,12.497,13.9542258064516,15.3751935483871,2976
"15","Brunnerdale.Ogdonia","2020","09",17.95,7.983,11.9317333333333,13.1169,2584
"16","Brunnerdale.Ogdonia","2020","10",12.69,6.471,9.76090322580645,10.9199677419355,1822
"17","Brunnerdale.Ogdonia","2020","11",12.401,3.049,6.2092,7.8294,178
"18","Brunnerdale.Ogdonia","2020","12",8.082,0.121,2.7311935483871,3.85429032258065,0
"19","Brunnerdale.Ogdonia","2021","01",3.893,0.232,1.52535483870968,2.32838709677419,0
"20","Brunnerdale.Ogdonia","2021","02",2.195,0.121,0.456392857142857,1.00817857142857,0
"21","Brunnerdale.Ogdonia","2021","03",9.077,0.121,2.77435483870968,4.60925806451613,0
"22","Brunnerdale.Ogdonia","2021","04",12.207,2.41,6.0941,8.62806666666667,189
"23","Brunnerdale.Ogdonia","2021","05",14.804,6.37,8.97870967741935,11.2083225806452,1357
"24","Brunnerdale.Ogdonia","2021","06",18.331,9.176,12.8597666666667,14.7549333333333,2838
"25","Brunnerdale.Ogdonia","2021","07",17.189,12.98,14.5409032258065,16.0239032258064,2976
"26","Brunnerdale.Ogdonia","2021","08",18.521,12.69,15.7816774193548,17.2064516129032,2976
"27","Brunnerdale.Ogdonia","2021","09",17.379,11.431,13.9257333333333,15.3378333333333,2880
"28","Brunnerdale.Ogdonia","2021","10",15.473,9.077,11.8178709677419,13.0995161290323,2872
"29","Brunnerdale.Ogdonia","2021","11",10.748,3.155,6.01616666666667,7.37873333333333,131
"30","Brunnerdale.Ogdonia","2021","12",7.079,2.624,3.80864285714286,5.11957142857143,0
"31","Coal.Loyalsock","2020","06",9.965,9.176,9.45684615384615,9.71461538461539,0
"32","Coal.Loyalsock","2020","07",17.284,9.866,11.2242580645161,12.3292903225806,2818
"33","Coal.Loyalsock","2020","08",13.076,11.916,12.3319032258065,12.6154838709677,2976
"34","Coal.Loyalsock","2020","09",17.95,11.722,12.4098666666667,12.9684333333333,2880
"35","Coal.Loyalsock","2020","10",12.594,11.528,11.9817096774194,12.2568709677419,2976
"36","Coal.Loyalsock","2020","11",12.013,10.161,11.3228,11.4493,2880
"37","Coal.Loyalsock","2020","12",10.357,1.221,6.95135483870968,7.69654838709677,73
"38","Coal.Loyalsock","2021","01",5.45,3.049,4.4568064516129,4.86987096774194,0
"39","Coal.Loyalsock","2021","02",4.519,3.472,3.95971428571429,4.09035714285714,0
"40","Coal.Loyalsock","2021","03",8.779,1.112,2.97961290322581,4.70309677419355,0
"41","Coal.Loyalsock","2021","04",12.11,2.088,5.66113333333333,8.01276666666667,169
"42","Coal.Loyalsock","2021","05",13.173,6.978,8.10225806451613,9.70225806451613,447
"43","Coal.Loyalsock","2021","06",16.427,8.581,9.3329,10.0011333333333,564
"44","Coal.Loyalsock","2021","07",18.711,10.455,13.1735483870968,15.3021612903226,2976
"45","Coal.Loyalsock","2021","08",18.901,13.076,14.0614193548387,14.9948387096774,2976
"46","Coal.Loyalsock","2021","09",17.855,14.421,14.8869333333333,15.5646666666667,2880
"47","Coal.Loyalsock","2021","10",15.473,10.455,13.138,13.806935483871,2976
"48","Coal.Loyalsock","2021","11",11.139,7.381,9.10666666666667,9.77166666666667,762
"49","Coal.Loyalsock","2021","12",9.373,4.934,7.83723076923077,8.60284615384615,0
"50","Conklin.Mill","2019","06",15.473,12.69,13.5406666666667,15.1548333333333,542
"51","Conklin.Mill","2019","07",18.616,12.497,14.8767419354839,16.4296451612903,2976
"52","Conklin.Mill","2019","08",17.76,12.207,14.650064516129,16.1428709677419,2976
"53","Conklin.Mill","2019","09",16.523,9.866,12.6887666666667,14.3583666666667,2868
"54","Conklin.Mill","2019","10",16.523,6.471,9.63196774193548,11.3019677419355,1592
"55","Conklin.Mill","2019","11",12.69,-5.372,0.8402,4.63656666666667,70
"56","Conklin.Mill","2019","12",5.45,-7.527,-0.745806451612903,2.32932258064516,0
"57","Conklin.Mill","2020","01",12.11,-9.525,-2.10929032258064,2.14751612903226,39
"58","Conklin.Mill","2020","02",5.655,-7.01,-0.568068965517241,2.53051724137931,0
"59","Conklin.Mill","2020","03",9.768,-2.261,2.18122580645161,5.39616129032258,0
"60","Conklin.Mill","2020","04",13.654,-3.911,1.58173333333333,8.1259,200
"61","Conklin.Mill","2020","05",22.717,-1.799,6.47225806451613,13.7508387096774,1545
"62","Conklin.Mill","2020","06",0,0,0,0,2586
"63","Conklin.Mill","2020","07",18.236,13.558,15.3091290322581,17.0136774193548,2976
"64","Conklin.Mill","2020","08",18.236,11.528,14.83,16.6201290322581,2976
"65","Conklin.Mill","2020","09",17.76,6.166,11.7445333333333,13.7961,2377
"66","Conklin.Mill","2020","10",14.325,5.655,8.78251612903226,10.7221935483871,1299
"67","Conklin.Mill","2020","11",12.401,1.656,5.57686666666667,7.44366666666667,182
"68","Conklin.Mill","2020","12",7.481,0.343,2.8923125,4.126125,0
"69","Dry.Hoagland","2016","12",5.347,0.232,1.54492,2.50352,0
"70","Dry.Hoagland","2017","01",5.552,0.232,1.89867741935484,2.71541935483871,0
"71","Dry.Hoagland","2017","02",8.382,0.232,1.89614285714286,3.21967857142857,0
"72","Dry.Hoagland","2017","03",7.582,0.232,1.98429032258065,3.387,0
"73","Dry.Hoagland","2017","04",14.996,4.102,7.68623333333333,10.2894666666667,877
"74","Dry.Hoagland","2017","05",16.427,6.573,9.74370967741936,11.7316451612903,1789
"75","Dry.Hoagland","2017","06",20.138,8.879,12.6920333333333,14.7974666666667,2754
"76","Dry.Hoagland","2017","07",18.14,13.75,15.3770967741935,16.2360322580645,2976
"77","Dry.Hoagland","2017","08",17.665,12.594,14.592,15.5824516129032,2976
"78","Dry.Hoagland","2017","09",19.282,8.581,12.8300333333333,14.6025666666667,2845
"79","Dry.Hoagland","2017","10",17.665,5.552,10.7087741935484,12.782064516129,2300
"80","Dry.Hoagland","2017","11",11.236,2.624,5.32706666666667,6.54083333333333,247
"81","Dry.Hoagland","2017","12",5.962,0.232,1.71674193548387,2.44274193548387,0
"82","Dry.Hoagland","2018","01",3.367,0.232,0.72658064516129,1.30887096774194,0
"83","Dry.Hoagland","2018","02",6.268,0.232,1.74035714285714,2.62767857142857,0
